Module_Name,Schema_Name,Table_Name,Column_Name,Data_Type,Is_Primary_Key,Is_Foreign_Key,Nullable,Referenced_Table,Referenced_Column,Business_Description,Data_Owner,Sensitivity_Level,Masking_Required,Remarks
Ticket System,ad_prd_ticket_system,app_runtime_config,config_key,varchar(100),YES,NO,NOT NULL,NULL,NULL,Config key maintained for app runtime config records.,FCI,,,
Ticket System,ad_prd_ticket_system,app_runtime_config,config_value,varchar(255),NO,NO,NOT NULL,NULL,NULL,Config value maintained for app runtime config records.,FCI,,,
Ticket System,ad_prd_ticket_system,app_runtime_config,updated_at,timestamp,NO,NO,NOT NULL,NULL,NULL,Timestamp when this record was last updated.,FCI,,,
Ticket System,ad_prd_ticket_system,assignment_history,id,varchar(36),YES,NO,NOT NULL,NULL,NULL,Unique identifier for this record.,FCI,,,
Ticket System,ad_prd_ticket_system,assignment_history,ticket_id,varchar(36),NO,YES,NOT NULL,tickets,ticket_id,Reference to the related ticket.,FCI,,,
Ticket System,ad_prd_ticket_system,assignment_history,assigned_by,varchar(100),NO,NO,NOT NULL,NULL,NULL,User who assigned the ticket/action.,FCI,,,
Ticket System,ad_prd_ticket_system,assignment_history,assigned_to,varchar(100),NO,NO,NOT NULL,NULL,NULL,User currently assigned to the ticket/action.,FCI,,,
Ticket System,ad_prd_ticket_system,assignment_history,level_id,varchar(20),NO,NO,NULL,NULL,NULL,Reference identifier of the related level.,FCI,,,
Ticket System,ad_prd_ticket_system,assignment_history,timestamp,datetime,NO,NO,NULL,NULL,NULL,Timestamp maintained for assignment history records.,FCI,,,
Ticket System,ad_prd_ticket_system,assignment_history,remark,varchar(255),NO,NO,NULL,NULL,NULL,Remark maintained for assignment history records.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_event,id,bigint,YES,NO,NOT NULL,NULL,NULL,Unique identifier for this record.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_event,title,varchar(255),NO,NO,NOT NULL,NULL,NULL,Short title of the ticket/record.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_event,start_at,datetime,NO,NO,NOT NULL,NULL,NULL,Timestamp for start.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_event,end_at,datetime,NO,NO,NOT NULL,NULL,NULL,Timestamp for end.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_event,is_all_day,tinyint(1),NO,NO,NOT NULL,NULL,NULL,Boolean flag indicating whether all day.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_event,background_color,varchar(16),NO,NO,NULL,NULL,NULL,Background color maintained for calendar event records.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_event,text_color,varchar(16),NO,NO,NULL,NULL,NULL,Text color maintained for calendar event records.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_event,meta,json,NO,NO,NULL,NULL,NULL,Meta maintained for calendar event records.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_holiday,id,bigint,YES,NO,NOT NULL,NULL,NULL,Unique identifier for this record.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_holiday,holiday_date,date,NO,NO,NOT NULL,NULL,NULL,Date for holiday.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_holiday,name,varchar(128),NO,NO,NOT NULL,NULL,NULL,Display name of the record.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_holiday,region,varchar(64),NO,NO,NOT NULL,NULL,NULL,Region maintained for calendar holiday records.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_holiday,is_optional,tinyint(1),NO,NO,NOT NULL,NULL,NULL,Boolean flag indicating whether optional.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_source,id,bigint,YES,NO,NOT NULL,NULL,NULL,Unique identifier for this record.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_source,provider_code,varchar(64),NO,NO,NOT NULL,NULL,NULL,Code representing provider.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_source,base_url,varchar(255),NO,NO,NOT NULL,NULL,NULL,Base url maintained for calendar source records.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_source,api_key,varchar(255),NO,NO,NULL,NULL,NULL,Api key maintained for calendar source records.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_source,enabled,tinyint(1),NO,NO,NOT NULL,NULL,NULL,Enabled maintained for calendar source records.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_working_hours,id,bigint,YES,NO,NOT NULL,NULL,NULL,Unique identifier for this record.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_working_hours,start_time,time,NO,NO,NOT NULL,NULL,NULL,Start time maintained for calendar working hours records.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_working_hours,end_time,time,NO,NO,NOT NULL,NULL,NULL,End time maintained for calendar working hours records.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_working_hours,timezone,varchar(64),NO,NO,NOT NULL,NULL,NULL,Timezone maintained for calendar working hours records.,FCI,,,
Ticket System,ad_prd_ticket_system,calendar_working_hours,is_active,tinyint(1),NO,NO,NOT NULL,NULL,NULL,Flag indicating whether the record is active.,FCI,,,
